employment,country,edlevel,orgsize,yearscode,yearscodepro,currency,comptotal,age,year,comptotal_usd,edvalue,employment_value,lower_bound_orgsize,upper_bound_orgsize
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,7,6,United States dollar,66750.0,25,2019,66750.0,0,0,10000,10001
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,10,4,United States dollar,100000.0,26,2019,100000.0,2,0,20,99
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,41,35,United States dollar,,54,2019,,0,0,10000,10001
Employed full-time,Spain,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1000 to 4999 employees,15,9,European Euro,90000.0,31,2019,106200.0,2,0,1000,4999
Employed full-time,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",1000 to 4999 employees,16,11,United States dollar,62000.0,34,2019,62000.0,5,0,1000,4999
Employed full-time,United States,Some college/university study without earning a degree,500 to 999 employees,35,25,United States dollar,,47,2019,,1,0,500,999
Employed full-time,Australia,Some college/university study without earning a degree,20 to 99 employees,5,2,Australian dollar,50000.0,22,2019,38000.0,1,0,20,99
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1000 to 4999 employees,6,3,United States dollar,70000.0,35,2019,70000.0,0,0,1000,4999
Employed full-time,Latvia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,5,4,European Euro,35000.0,29,2019,41300.0,2,0,20,99
Employed full-time,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1000 to 4999 employees,10,7,Pound sterling,50000.0,28,2019,68500.0,2,0,1000,4999
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,10,5,United States dollar,90000.0,27,2019,90000.0,0,0,20,99
Employed full-time,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,7,7,Australian dollar,86000.0,40,2019,65360.0,0,0,2,9
Employed full-time,Canada,Some college/university study without earning a degree,500 to 999 employees,35,20,Canadian dollar,95000.0,45,2019,76000.0,1,0,500,999
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,9,7,United States dollar,120000.0,33,2019,120000.0,0,0,10000,10001
Employed full-time,Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,10,5,European Euro,,47,2019,,0,0,2,9
Employed part-time,New Zealand,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,26,17,New Zealand dollar,,38,2019,,2,2,10,19
Employed part-time,Austria,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,16,10,European Euro,,30,2019,,0,2,10,19
Employed full-time,Australia,Associate degree,5000 to 9999 employees,22,20,Australian dollar,180000.0,41,2019,136800.0,4,0,5000,9999
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,9,2,United States dollar,72000.0,24,2019,72000.0,0,0,10000,10001
Employed full-time,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1000 to 4999 employees,19,9,Canadian dollar,183000.0,29,2019,146400.0,0,0,1000,4999
"Independent contractor, freelancer, or self-employed",United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,12,10,United States dollar,100000.0,31,2019,100000.0,0,1,1,10001
"Independent contractor, freelancer, or self-employed",Canada,Some college/university study without earning a degree,1,21,16,Canadian dollar,,40,2019,,1,1,1,10001
Employed full-time,Latvia,Associate degree,20 to 99 employees,14,10,European Euro,3600.0,32,2019,4248.0,4,0,20,99
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,6,5,United States dollar,160000.0,31,2019,160000.0,2,0,100,499
"Independent contractor, freelancer, or self-employed",United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,6,1,United States dollar,55000.0,23,2019,55000.0,0,1,10,19
Employed full-time,Italy,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,10,Less than 1 year,European Euro,23000.0,23,2019,27140.0,0,0,10000,10001
"Independent contractor, freelancer, or self-employed",United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,21,21,Pound sterling,27036.0,48,2019,37039.32,0,1,1,10001
Employed full-time,Ukraine,Some college/university study without earning a degree,100 to 499 employees,20,10,United States dollar,4000.0,47,2019,4000.0,1,0,100,499
Employed part-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1000 to 4999 employees,6,2,United States dollar,750.0,31,2019,750.0,0,2,1000,4999
Employed part-time,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,7,Less than 1 year,European Euro,800.0,16,2019,944.0,3,2,20,99
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10000 or more employees,2,1,United States dollar,57000.0,26,2019,57000.0,2,0,10000,10001
"Independent contractor, freelancer, or self-employed",Poland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2-9 employees,27,20,United States dollar,175000.0,37,2019,175000.0,3,1,2,9
Employed full-time,Italy,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,6,5,European Euro,,32,2019,,2,0,500,999
Employed full-time,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,20,16,European Euro,5800.0,37,2019,6844.0,3,0,20,99
Employed full-time,United States,Some college/university study without earning a degree,100 to 499 employees,4,4,United States dollar,113000.0,28,2019,113000.0,1,0,100,499
Employed full-time,New Zealand,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2-9 employees,17,17,New Zealand dollar,125000.0,35,2019,91250.0,3,0,2,9
Employed full-time,United States,Some college/university study without earning a degree,20 to 99 employees,5,2,United States dollar,40000.0,21,2019,40000.0,1,0,20,99
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,20,17,United States dollar,85000.0,38,2019,85000.0,0,0,20,99
"Independent contractor, freelancer, or self-employed",United States,Some college/university study without earning a degree,2-9 employees,11,6,United States dollar,,23,2019,,1,1,2,9
Employed full-time,United States,I never completed any formal education,100 to 499 employees,7,7,United States dollar,75000.0,35,2019,75000.0,6,0,100,499
Employed full-time,United States,Associate degree,20 to 99 employees,4,Less than 1 year,United States dollar,,22,2019,,4,0,20,99
Employed full-time,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",5000 to 9999 employees,15,7,United States dollar,90000.0,31,2019,90000.0,5,0,5000,9999
Employed full-time,United States,Some college/university study without earning a degree,10000 or more employees,22,20,United States dollar,140000.0,40,2019,140000.0,1,0,10000,10001
Employed full-time,Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,5,4,Canadian dollar,110000.0,30,2019,88000.0,2,0,20,99
"Independent contractor, freelancer, or self-employed",Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,16,16,Australian dollar,,46,2019,,0,1,1,10001
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,14,7,United States dollar,140000.0,30,2019,140000.0,0,0,10000,10001
Employed full-time,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,23,11,Pound sterling,180000.0,35,2019,246600.00000000003,2,0,500,999
Employed full-time,Canada,"Other doctoral degree (Ph.D, Ed.D., etc.)",5000 to 9999 employees,25,18,Canadian dollar,50000.0,35,2019,40000.0,5,0,5000,9999
Employed full-time,France,"Other doctoral degree (Ph.D, Ed.D., etc.)",1000 to 4999 employees,20,6,European Euro,65000.0,30,2019,76700.0,5,0,1000,4999
Employed full-time,China,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,7,5,Chinese Yuan Renminbi,17000.0,28,2019,2550.0,0,0,100,499
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,12,7,United States dollar,100000.0,28,2019,100000.0,0,0,2,9
Employed full-time,Portugal,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,24,19,European Euro,,42,2019,,0,0,2,9
Employed full-time,United States,Some college/university study without earning a degree,100 to 499 employees,2,1,United States dollar,35000.0,24,2019,35000.0,1,0,100,499
Employed full-time,Estonia,Some college/university study without earning a degree,2-9 employees,10,10,European Euro,1500.0,31,2019,1770.0,1,0,2,9
Employed full-time,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,13,7,United States dollar,12000.0,28,2019,12000.0,0,0,2,9
Employed full-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,30,20,Pound sterling,32000.0,39,2019,43840.0,0,0,2,9
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,40,37,United States dollar,100000.0,58,2019,100000.0,0,0,10,19
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10000 or more employees,23,12,United States dollar,147000.0,37,2019,147000.0,2,0,10000,10001
Employed full-time,Netherlands,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2-9 employees,30,20,European Euro,2000.0,37,2019,2360.0,2,0,2,9
Employed full-time,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1,8,5,European Euro,40000.0,28,2019,47200.0,2,0,1,10001
Employed full-time,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2-9 employees,25,25,Pound sterling,25000.0,52,2019,34250.0,2,0,2,9
Employed full-time,United States,Associate degree,20 to 99 employees,16,10,United States dollar,65000.0,33,2019,65000.0,4,0,20,99
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,5,1,United States dollar,90000.0,23,2019,90000.0,0,0,500,999
Employed full-time,Belgium,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,12,5,European Euro,,28,2019,,0,0,100,499
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,10,6,United States dollar,90000.0,29,2019,90000.0,2,0,10,19
Employed full-time,Italy,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,6,3,European Euro,30000.0,24,2019,35400.0,2,0,20,99
Employed full-time,United States,Some college/university study without earning a degree,100 to 499 employees,10,6,United States dollar,128000.0,23,2019,128000.0,1,0,100,499
Employed full-time,United States,Associate degree,20 to 99 employees,9,6,United States dollar,80000.0,27,2019,80000.0,4,0,20,99
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,20,14,United States dollar,87000.0,33,2019,87000.0,0,0,20,99
Employed full-time,United States,Associate degree,20 to 99 employees,15,12,United States dollar,55000.0,37,2019,55000.0,4,0,20,99
Employed full-time,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,4,Less than 1 year,European Euro,,24,2019,,2,0,20,99
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,23,23,United States dollar,121000.0,49,2019,121000.0,2,0,100,499
Employed part-time,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,6,3,European Euro,2000.0,22,2019,2360.0,0,2,10000,10001
Employed full-time,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2-9 employees,20,20,Pound sterling,50000.0,40,2019,68500.0,2,0,2,9
"Independent contractor, freelancer, or self-employed",United States,Some college/university study without earning a degree,1,13,10,United States dollar,80000.0,37,2019,80000.0,1,1,1,10001
Employed full-time,Mexico,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,8,2,United States dollar,,28,2019,,0,0,1,10001
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,14,5,United States dollar,123500.0,27,2019,123500.0,0,0,20,99
Employed full-time,Canada,"Other doctoral degree (Ph.D, Ed.D., etc.)",100 to 499 employees,8,5,Canadian dollar,48000.0,31,2019,38400.0,5,0,100,499
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,6,1,United States dollar,45000.0,24,2019,45000.0,0,0,10,19
Employed full-time,United Kingdom,Some college/university study without earning a degree,10 to 19 employees,20,6,Pound sterling,46500.0,37,2019,63705.00000000001,1,0,10,19
Employed full-time,United Kingdom,"Other doctoral degree (Ph.D, Ed.D., etc.)",5000 to 9999 employees,2,1,Pound sterling,24000.0,28,2019,32880.0,5,0,5000,9999
"Independent contractor, freelancer, or self-employed",United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,40,40,Pound sterling,,64,2019,,0,1,2,9
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,4,1,United States dollar,,22,2019,,0,0,100,499
Employed full-time,Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,7,7,Canadian dollar,130000.0,31,2019,104000.0,2,0,100,499
Employed full-time,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10000 or more employees,12,7,European Euro,3000.0,23,2019,3540.0,3,0,10000,10001
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,10,5,United States dollar,94000.0,28,2019,94000.0,2,0,20,99
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1000 to 4999 employees,9,7,United States dollar,,31,2019,,0,0,1000,4999
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,10,5,United States dollar,90000.0,22,2019,90000.0,0,0,10000,10001
Employed part-time,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1000 to 4999 employees,32,22,Australian dollar,80000.0,46,2019,60800.0,0,2,1000,4999
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1000 to 4999 employees,12,6,United States dollar,55000.0,27,2019,55000.0,0,0,1000,4999
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,9,3,United States dollar,130000.0,25,2019,130000.0,0,0,10,19
Employed full-time,Slovenia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2-9 employees,15,10,European Euro,1800.0,34,2019,2124.0,3,0,2,9
Employed full-time,Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,11,5,Canadian dollar,70000.0,28,2019,56000.0,2,0,100,499
Employed part-time,Ireland,"Other doctoral degree (Ph.D, Ed.D., etc.)",1000 to 4999 employees,25,16,European Euro,35000.0,40,2019,41300.0,5,2,1000,4999
Employed full-time,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,5,5,Pound sterling,15000.0,28,2019,20550.0,2,0,100,499
Employed full-time,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",10000 or more employees,8,5,United States dollar,103000.0,27,2019,103000.0,5,0,10000,10001
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5000 to 9999 employees,3,3,United States dollar,60000.0,32,2019,60000.0,0,0,5000,9999
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1,6,4,United States dollar,,30,2019,,2,0,1,10001
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10000 or more employees,5,3,United States dollar,100000.0,27,2019,100000.0,2,0,10000,10001
Employed full-time,Nepal,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,6,2,United States dollar,10000.0,25,2019,10000.0,0,0,20,99
"Independent contractor, freelancer, or self-employed",United States,Associate degree,1,8,7,United States dollar,,29,2019,,4,1,1,10001
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,23,23,United States dollar,96000.0,36,2019,96000.0,0,0,20,99
"Independent contractor, freelancer, or self-employed",United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1,18,15,United States dollar,5000.0,33,2019,5000.0,2,1,1,10001
Employed full-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,7,3,Pound sterling,55000.0,25,2019,75350.0,0,0,100,499
Employed full-time,Italy,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,11,2,European Euro,1250.0,24,2019,1475.0,2,0,100,499
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,3,2,United States dollar,110000.0,26,2019,110000.0,0,0,20,99
Employed full-time,Japan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,20,6,Japanese yen,6000000.0,31,2019,55200.0,0,0,100,499
Employed full-time,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,6,,United States dollar,40000.0,21,2019,40000.0,3,0,100,499
Employed full-time,Italy,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5000 to 9999 employees,20,10,European Euro,,37,2019,,2,0,5000,9999
Employed full-time,Canada,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1000 to 4999 employees,28,22,Canadian dollar,115000.0,40,2019,92000.0,3,0,1000,4999
Employed full-time,Australia,"Other doctoral degree (Ph.D, Ed.D., etc.)",100 to 499 employees,16,11,Australian dollar,74000.0,33,2019,56240.0,5,0,100,499
"Independent contractor, freelancer, or self-employed",Canada,"Professional degree (JD, MD, etc.)",2-9 employees,9,9,Canadian dollar,0.0,65,2019,0.0,7,1,2,9
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,13,5,United States dollar,55000.0,30,2019,55000.0,0,0,20,99
Employed full-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,21,21,Pound sterling,60000.0,38,2019,82200.0,0,0,20,99
Employed full-time,Finland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,6,4,European Euro,40000.0,19,2019,47200.0,3,0,100,499
Employed full-time,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10000 or more employees,10,6,European Euro,4712.0,28,2019,5560.16,2,0,10000,10001
Employed full-time,Australia,I never completed any formal education,20 to 99 employees,4,2,Australian dollar,120000.0,34,2019,91200.0,6,0,20,99
Employed full-time,Switzerland,"Other doctoral degree (Ph.D, Ed.D., etc.)",20 to 99 employees,10,7,Swiss franc,210000.0,30,2019,228900.00000000003,5,0,20,99
Employed full-time,Colombia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,20,13,United States dollar,3185.0,37,2019,3185.0,0,0,2,9
Employed full-time,Canada,Some college/university study without earning a degree,100 to 499 employees,24,18,Canadian dollar,94000.0,36,2019,75200.0,1,0,100,499
"Independent contractor, freelancer, or self-employed",Morocco,Associate degree,2-9 employees,35,30,European Euro,1000.0,55,2019,1180.0,4,1,2,9
"Independent contractor, freelancer, or self-employed",Italy,I never completed any formal education,1,10,4,European Euro,,22,2019,,6,1,1,10001
"Independent contractor, freelancer, or self-employed",France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1,34,17,European Euro,60000.0,40,2019,70800.0,2,1,1,10001
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10000 or more employees,7,Less than 1 year,United States dollar,75000.0,24,2019,75000.0,2,0,10000,10001
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1000 to 4999 employees,10,6,United States dollar,,31,2019,,0,0,1000,4999
"Independent contractor, freelancer, or self-employed",China,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,8,4,United States dollar,2000.0,28,2019,2000.0,0,1,1,10001
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1000 to 4999 employees,3,1,United States dollar,70000.0,24,2019,70000.0,2,0,1000,4999
Employed full-time,Netherlands,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2-9 employees,40,40,European Euro,,63,2019,,2,0,2,9
Employed full-time,Spain,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,12,7,European Euro,49000.0,27,2019,57820.0,2,0,10,19
Employed full-time,Italy,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,26,12,European Euro,30000.0,34,2019,35400.0,2,0,10,19
Employed full-time,Spain,"Professional degree (JD, MD, etc.)",2-9 employees,8,7,European Euro,1300.0,38,2019,1534.0,7,0,2,9
Employed full-time,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees,20,10,United States dollar,100000.0,37,2019,100000.0,3,0,10,19
"Independent contractor, freelancer, or self-employed",Portugal,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,15,12,European Euro,1600.0,33,2019,1888.0,0,1,1,10001
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10000 or more employees,36,25,United States dollar,,48,2019,,2,0,10000,10001
Employed full-time,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",5000 to 9999 employees,20,4,United States dollar,156000.0,35,2019,156000.0,5,0,5000,9999
Employed full-time,Canada,Associate degree,500 to 999 employees,7,5,Canadian dollar,105000.0,35,2019,84000.0,4,0,500,999
Employed full-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,5,1,Pound sterling,27000.0,23,2019,36990.0,0,0,100,499
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,2,2,United States dollar,150000.0,28,2019,150000.0,2,0,100,499
Employed full-time,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5000 to 9999 employees,3,2,European Euro,32000.0,30,2019,37760.0,2,0,5000,9999
Employed full-time,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",1000 to 4999 employees,30,15,United States dollar,,49,2019,,5,0,1000,4999
"Independent contractor, freelancer, or self-employed",United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,15,10,United States dollar,80000.0,40,2019,80000.0,0,1,2,9
Employed full-time,Estonia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,21,15,European Euro,3000.0,36,2019,3540.0,0,0,2,9
Employed full-time,Netherlands,Some college/university study without earning a degree,1000 to 4999 employees,26,13,European Euro,56000.0,33,2019,66080.0,1,0,1000,4999
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,9,5,United States dollar,95000.0,26,2019,95000.0,0,0,500,999
Employed full-time,Finland,Some college/university study without earning a degree,2-9 employees,34,25,European Euro,,42,2019,,1,0,2,9
Employed full-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,20,8,Pound sterling,40000.0,33,2019,54800.00000000001,0,0,20,99
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5000 to 9999 employees,7,7,United States dollar,101000.0,26,2019,101000.0,0,0,5000,9999
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,7,2,United States dollar,65000.0,23,2019,65000.0,0,0,10,19
Employed full-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,12,8,Pound sterling,76000.0,30,2019,104120.00000000001,0,0,100,499
Employed full-time,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,15,7,Canadian dollar,70000.0,29,2019,56000.0,0,0,10,19
Employed full-time,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,18,12,Pound sterling,62500.0,36,2019,85625.0,2,0,100,499
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,20,1,United States dollar,66000.0,32,2019,66000.0,0,0,100,499
Employed full-time,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10000 or more employees,30,12,European Euro,,44,2019,,2,0,10000,10001
"Independent contractor, freelancer, or self-employed",United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,30,24,Pound sterling,3000.0,40,2019,4110.0,0,1,1,10001
Employed full-time,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5000 to 9999 employees,7,5,European Euro,85000.0,32,2019,100300.0,0,0,5000,9999
Employed full-time,Greece,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,2,1,European Euro,735.0,28,2019,867.3,0,0,100,499
